title,author,price,price (including used books),pages,avg_reviews,n_reviews,star5,star4,star3,star2,star1,dimensions,weight,language,publisher
An R Companion to Political Analysis,Philip H. Pollock and Barry Clayton Edwards,69.06, 65.00 - 69.06 ,416,0,0,0,0,0,0,0,1419.5,0.9797595192000002,English,"CQ Press; Third edition (August 16, 2022)"
Data and Analytics for Instructional Designers,Megan Torrance,32.99,32.99,240,0,0,0,0,0,0,0,,0.5034875307000001,English,"Association for Talent Development (April 11, 2023)"
The Workflow of Data Analysis Using Stata,J. Scott Long,75.95, 60.76 - 75.95 ,379,4.6,46,74,19,3,4,0,976.9,0.8119303423,English,"Stata Press; 1st edition (December 10, 2008)"
Big Data in Healthcare: Statistical Analysis of the Electronic Health Record (1),Farrokh Alemi,90.0, 44.46 - 90.00 ,553,4.6,6,78,22,0,0,0,1491.2,1.1521246198000001,English,"AUPHA/HAP Book; 1st edition (February 18, 2020)"
Data Analysis for Database Design,David Howe,28.45, 13.77 - 28.45 ,336,4.8,9,78,22,0,0,0,,,English,"Butterworth-Heinemann; 3rd edition (May 31, 2001)"
Applying Quantitative Bias Analysis to Epidemiologic Data (Statistics for Biology and Health),Not Provided,47.62,47.62,483,5.0,1,100,0,0,0,0,982.3,0.8482177319,English,"Springer; 2nd ed. 2021 edition (March 25, 2022)"
Data Analysis for the Life Sciences with R,Rafael A. Irizarry and Michael I. Love,47.68,47.68,376,4.3,15,77,11,11,0,0,860.3,0.7665711053,English,"Chapman and Hall/CRC; 1st edition (July 25, 2016)"
"Introduction to Mediation, Moderation, and Conditional Process Analysis: A Regression-Based Approach (Methodology in the Social Sciences)",Not Provided,58.41,58.41,732,4.6,25,72,17,5,5,0,1789.5,1.4016004233,English,"The Guilford Press; Third edition (January 24, 2022)"
Data Smart: Using Data Science to Transform Information into Insight,John W. Foreman,21.21, 10.64 - 21.21 ,432,4.5,347,70,16,8,4,2,870.9,0.7257477920000001,English,"Wiley; 1st edition (November 12, 2013)"
Exploratory Data Analysis,John Tukey,99.99,99.99,712,4.6,23,72,18,7,3,0,1465.7,0.1000738056,English,"Pearson; 1st edition (January 1, 1977)"
Data Cartels: The Companies That Control and Monopolize Our Information,Sarah Lamdan,26.0,26,224,0,0,0,0,0,0,0,495.5,0.34019424,English,"Stanford University Press; 1st edition (November 8, 2022)"
"Data Analytics: Introduction and Guide to Data Science, Analysis, Artificial Intelligence and Machine Learning","Markus Schellander, Chris Johnson, et al.",0,0,0,0,0,0,0,0,0,0,,,Not_Stated,Not Provided
Business Analytics: Data Analysis & Decision Making - Standalone book,S. Christian Albright and Wayne L. Winston,93.15, 46.10 - 93.15 ,984,4.4,174,72,14,5,3,7,1966.4,1.8597287169999999,English,"Cengage Learning; 6th edition (April 27, 2016)"
Network Security Through Data Analysis: From Data to Action,Michael Collins,9.02, 8.00 - 49.02 ,428,4.5,17,72,14,5,9,0,916.4,0.7438914868,English,"O'Reilly Media; 2nd edition (October 17, 2017)"
Python for Data Analysis: Learn the Principles of Data Analysis and Raise Your Programming Iq. Improve Your Machine Learning Experience and Become a Skilled Programmer by Learning 10+ Coding Secrets,Robert Campbell,33.99,33.99,74,1.0,1,100,0,0,0,0,327.7,0.405398136,English,"Robert Campbell (October 16, 2022)"
Start with Why: How Great Leaders Inspire Everyone to Take Action,Not Provided,0,0,0,4.6,"26,560",77,13,6,2,2,,,Not_Stated,Not Provided
"Data Analysis & Probability: A Quickstudy Laminated Reference Guide (Math Fundamentals, 4)","Peggy Warren, Susan Wright, et al.",6.11,6.11,6,5.0,1,100,0,0,0,0,91.9,0.068038848,English,"Quickstudy; Updated edition (November 1, 2021)"
"Excel 2022: Learn From Scratch with the Most Update Guide on Microsoft Excel Plus Step by Step Tutorial, Features and Formulas. 7 Minutes Crash Course Included",Robert Johnson,19.24,19.24,161,4.8,293,93,3,1,3,0,566.9,0.4898797596000001,English,"Independently published (October 6, 2022)"
Learn Selenium: Build data-driven test frameworks for mobile and web applications with Selenium Web Driver 3,Unmesh Gundecha and Carl Cocchiaro,49.99,49.99,536,4.4,13,50,39,11,0,0,1375.6,0.9117206636999999,English,"Packt Publishing (July 18, 2019)"
Hands-On Graph Analytics with Neo4j: Perform graph processing and visualization techniques using connected data across your enterprise,Estelle Scifo,44.99, 41.79 - 44.99 ,510,4.1,23,48,28,17,7,0,1307.4,0.8663614267,English,"Packt Publishing (August 21, 2020)"
Recovering Black Storytelling in Qualitative Research (Futures of Data Analysis in Qualitative Research),Not Provided,37.8,37.8,192,4.6,29,84,8,8,0,0,491.1,0.430912704,English,"Routledge; 1st edition (November 19, 2021)"
Python for Beginners: The Biggest Python Programming Crash Course for Beginners | Learn Python Coding Like a PRO in 7 Days! + Hands-On Workbook,PROGRAMMING LANGUAGES ACADEMY,17.95,17.95,205,4.4,292,63,22,7,3,4,415.9,0.5397749203,English,"Independently published (January 2, 2020)"
Hands-On Data Analysis in R for Finance,Jean-Francois Collard,79.96,79.96,414,0,0,0,0,0,0,0,,,English,"Chapman and Hall/CRC; 1st edition (November 16, 2022)"
"Python for ArcGIS Pro: Automate cartography and data analysis using ArcPy, ArcGIS API for Python, Notebooks, and pandas","Silas Toms, Bill Parker, et al.",59.84, 53.45 - 59.84 ,586,4.7,51,83,10,4,3,0,1500.6,0.9933672903,English,"Packt Publishing (April 29, 2022)"
Field Guide to Optomechanical Design and Analysis (Spie Field Guides),"Burge, James H., et al.",42.0,42,168,4.4,7,60,19,21,0,0,360.5,0.221126256,English,"SPIE--The International Society for Optical Engineering; Spi edition (August 1, 2012)"
Practical Data Analysis Using Jupyter Notebook: Learn how to speak the language of data by extracting useful and actionable insights using Python,Marc Wintjen and Andrew Vlahutin,34.99,34.99,322,4.0,33,56,16,7,10,11,829.9,0.5533826914000001,English,"Packt Publishing (June 19, 2020)"
Introduction to Statistics and Data Analysis,"Roxy Peck, Chris Olsen, et al.",15.1,15.1,944,4.5,53,69,14,12,3,1,1966.4,1.9821986569,English,"Brooks Cole; 5th edition (January 1, 2015)"
Regression Analysis with R: Design and develop statistical nodes to identify unique relationships within data at scale,Giuseppe Ciaburro,41.99,41.99,422,4.4,12,57,30,13,0,0,1091.4,0.7212118683000001,English,"Packt Publishing (January 31, 2018)"
Data and Analytics Strategy for Business: Unlock Data Assets and Increase Innovation with a Results-Driven Data Strategy,Simon Asplen-Taylor,34.99,34.99,328,4.6,3,62,38,0,0,0,730.5,0.4989516070000001,English,"Kogan Page; 1st edition (June 28, 2022)"
POWER BI FOR BEGINNERS 2022: A SIMPLE AND DIRECT GUIDE TO DATA ANALYSIS USING POWER BI,RICHARD STEVE,9.99,9.99,49,4.4,7,53,30,17,0,0,106.2,0.12757284,English,"Independently published (April 30, 2022)"
"Accelerated Testing: Statistical Models, Test Plans, and Data Analysis (Wiley Series in Probability and Statistics)",Wayne B. Nelson,37.0,37,616,4.5,16,70,21,9,0,0,1017.0,0.8210021897,English,"Wiley-Interscience; 1st edition (February 1, 1990)"
"Memory Dump Analysis Anthology, Volume 3, Revised Edition (Memory Dump Analysis Anthology (Diagnomicon))",Dmitry Vostokov and Software Diagnostics Institute,40.0,40,396,0,0,0,0,0,0,0,716.8,0.5261671492,English,"Opentask (December 25, 2021)"
Analysis of Economic Data,Gary Koop,62.78, 14.49 - 62.78 ,272,4.0,14,66,18,16,0,0,690.1,0.4853438359000001,English,"Wiley; 4th edition (September 23, 2013)"
Approximation Theory and Algorithms for Data Analysis (Texts in Applied Mathematics Book 68),Not Provided,59.99, 22.50 - 59.99 ,368,4.5,2,50,50,0,0,0,,,English,"Springer; 1st ed. 2018 edition (December 14, 2018)"
Spreadsheet Modeling and Decision Analysis: A Practical Introduction to Business Analytics (MindTap Course List),Cliff Ragsdale,153.5, 72.73 - 153.50 ,864,4.4,3,38,62,0,0,0,1985.4,1.7916898615,English,"Cengage Learning; 9th edition (September 28, 2021)"
Probability and Computing: Randomization and Probabilistic Techniques in Algorithms and Data Analysis,Michael Mitzenmacher and Eli Upfal,73.98, 41.75 - 73.98 ,484,4.5,28,70,17,4,9,0,1441.9,1.1521246198000001,English,"Cambridge University Press; 2nd edition (July 3, 2017)"
The Algorithm Design Manual (Texts in Computer Science),Not Provided,73.99, 22.36 - 73.99 ,810,4.5,260,75,10,7,3,4,1897.8,1.5694296002,English,"Springer; 3rd ed. 2020 edition (October 6, 2020)"
"Data Structures and Algorithm Analysis in C++, Third Edition (Dover Books on Computer Science)",Not Provided,35.95, 11.10 - 35.95 ,624,4.3,40,62,17,9,12,0,1469.9,1.0659420695000001,English,"Dover Publications; Third edition (September 14, 2011)"
Guerrilla Data Analysis Using Microsoft Excel: 2nd Edition Covering Excel 2010/2013,Oz du Soleil and Bill Jelen,24.95, 13.49 - 24.95 ,180,4.5,45,76,7,10,7,0,655.5,0.377048616,English,"Holy Macro! Books; Second Edition, Second edition (May 1, 2015)"
"Learning the Pandas Library: Python Tools for Data Munging, Analysis, and Visual",Not Provided,19.99,19.99,212,4.2,78,57,24,7,5,7,424.8,0.28916510399999995,English,"CreateSpace Independent Publishing Platform; 1st edition (June 1, 2016)"
Data Analysis with Open Source Tools: A Hands-On Guide for Programmers and Data Scientists,Philipp K. Janert,39.99, 13.46 - 39.99 ,540,4.3,73,62,20,7,7,4,1475.9,0.8527536556,English,"O'Reilly Media; 1st edition (December 14, 2010)"
PYTHON DATA ANALYTICS: Advanced and Effective Strategies of Using Python Data Analytics,Not Provided,0,0,131,4.3,6,55,22,23,0,0,,,English,Not Provided
The Art of Data Analysis: How to Answer Almost Any Question Using Basic Statistics,Kristin H. Jarman,63.52, 43.99 - 63.52 ,192,4.7,29,77,16,7,0,0,431.1,0.29766996,English,"Wiley; 1st edition (May 13, 2013)"
Putting FACES on the Data: What Great Leaders and Teachers Do!,Lyn D. Sharratt and Michael Fullan,40.0, 32.95 - 40.00 ,376,0,0,0,0,0,0,0,860.3,0.5987419284000001,English,"Corwin; New 10th Anniversary edition (September 9, 2022)"
Astronomical Image and Data Analysis (Astronomy and Astrophysics Library),Not Provided,158.55, 81.46 - 158.55 ,352,0,0,0,0,0,0,0,,,English,"Springer; 2nd edition (June 21, 2007)"
Malware Analysis and Detection Engineering: A Comprehensive Approach to Detect and Analyze Modern Malware,Abhijit Mohanta and Anoop Saldanha,68.86, 62.49 - 68.86 ,948,4.7,81,82,12,4,2,0,2145.1,1.769010243,English,"Apress; 1st ed. edition (September 23, 2020)"
Spatial Analysis with R,Tonny J. Oyana,101.01, 78.47 - 101.01 ,354,5.0,1,100,0,0,0,0,945.2,0.8210021897,English,"CRC Press; 2nd edition (September 1, 2020)"
R Graphics Cookbook: Practical Recipes for Visualizing Data,Winston Chang,54.97, 31.24 - 54.97 ,444,4.5,82,74,14,4,6,2,999.1,0.7030681735000001,English,"O'Reilly Media; 2nd edition (November 30, 2018)"
A History of Data Visualization and Graphic Communication,Michael Friendly and Howard Wainer,48.94,48.94,320,4.6,10,57,43,0,0,0,1517.9,0.6395652417,English,"Harvard University Press; Illustrated edition (June 8, 2021)"
Murach's R for Data Analysis,Scott Mccoy,59.5,59.5,576,0,0,0,0,0,0,0,2621.9,0.9389362058999999,English,"Mike Murach & Associates Inc (January 1, 2023)"
Adjustment Computations: Spatial Data Analysis,Charles D. Ghilani,104.95, 52.48 - 104.95 ,720,4.5,20,69,20,8,3,0,1672.5,1.0659420695000001,English,"Wiley; 6th edition (October 23, 2017)"
"Microsoft Office 365 for Beginners: 12 Books In 1. The Ultimate Guide to Master the Microsoft Suite the Quick & Easy Way | Including Excel, Word, PowerPoint, OneNote, OneDrive, Outlook, Teams and More",Jamie Keet,12.99,12.99,300,4.9,410,97,3,1,0,0,1041.9,0.861825503,English,;
Practical Finite Element Simulations with SOLIDWORKS 2022: An illustrated guide to performing static analysis with SOLIDWORKS Simulation,Khameel B. Mustapha,46.99,46.99,480,5.0,4,100,0,0,0,0,1284.6,0.816466266,English,"Packt Publishing (February 14, 2022)"
DATA ANALYTICS: A Comprehensive Beginner’s Guide To Learn About The Realms Of Data Analytics From A-Z,Not Provided,19.99, 15.99 - 19.99 ,153,4.2,27,54,22,19,5,0,309.7,0.2126214,English,"Independently published (April 26, 2020)"
Data Analysis in High Energy Physics: A Practical Guide to Statistical Methods,"Olaf Behnke, Kevin Kröninger, et al.",89.0,89,658,4.8,9,77,23,0,0,0,,,English,"Wiley-VCH; 1st edition (August 30, 2013)"
Longitudinal Data Analysis,Robert D. Gibbons and Donald Hedeker,155.57, 130.24 - 155.57 ,360,4.9,8,92,8,0,0,0,1017.3,0.45359232,English,"Wiley-Interscience; 1st edition (April 7, 2006)"
"The Definitive Guide to DAX: Business Intelligence for Microsoft Power BI, SQL Server Analysis Services, and Excel Second Edition (Business Skills)",Not Provided,43.99, 42.11 - 43.99 ,768,4.7,"1,155",83,12,3,1,1,1910.2,1.3607771100000001,English,"Microsoft Press; 2nd edition (July 2, 2019)"
Statistical Analysis of Network Data with R (Use R!),Not Provided,76.19, 38.10 - 76.19 ,242,4.7,8,72,28,0,0,0,536.3,0.45359237,English,"Springer; 2nd ed. 2020 edition (June 3, 2020)"
"Designing Data-Intensive Applications: The Big Ideas Behind Reliable, Scalable, and Maintainable Systems",Martin Kleppmann,23.37,23.37,611,4.8,"3,443",85,9,3,1,2,1306.2,0.9752235955,English,"O'Reilly Media; 1st edition (May 2, 2017)"
Hands-on JavaScript for Python Developers: Leverage your Python knowledge to quickly learn JavaScript and advance your web development career,Sonyl Nagale,29.99, 28.49 - 29.99 ,410,4.5,16,76,15,9,0,0,1057.3,0.7030681735000001,English,"Packt Publishing (September 25, 2020)"
Excel: Pivot Tables & Charts (Quick Study Computer),Inc. BarCharts,5.95,5.95,6,4.6,"1,527",74,15,7,2,2,91.9,0.0635029248,English,"QuickStudy; Lam Rfc Cr edition (May 31, 2011)"
Building Big Data Pipelines with Apache Beam: Use a single programming model for both batch and stream data processing,Jan Lukavsky,46.99,46.99,342,4.0,12,58,18,12,12,0,886.7,0.5896700810000001,English,"Packt Publishing (January 21, 2022)"
Data Analysis For Business Decisions 2E: A Laboratory Manual,Andres Fortino PhD,26.49,26.49,198,0,0,0,0,0,0,0,,,English,"Mercury Learning and Information (August 3, 2020)"
Data Analysis with Mplus (Methodology in the Social Sciences),Not Provided,39.49,39.49,305,4.8,32,78,22,0,0,0,,,English,"The Guilford Press; Illustrated edition (December 5, 2012)"
Risk Assessment and Decision Analysis with Bayesian Networks,Norman Fenton and Martin Neil,87.53, 41.92 - 87.53 ,660,4.5,40,76,13,3,4,4,2135.3,1.3789208048000001,English,"Chapman and Hall/CRC; 2nd edition (September 12, 2018)"
Hands-On Data Science with R: Techniques to perform data manipulation and mining to build smart analytical models using R,"Vitor Bianchi Lanzetta, Nataraj Dasgupta, et al.",39.99,39.99,420,4.1,5,37,40,23,0,0,1080.0,0.7166759446000001,English,"Packt Publishing (November 30, 2018)"
Marketing Analytics: A Practical Guide to Improving Consumer Insights Using Data Techniques,Mike Grigsby,30.16,30.16,240,4.3,53,66,13,10,8,3,693.2,0.371378712,English,"Kogan Page; 2nd edition (April 24, 2018)"
"How Qualitative Data Analysis Happens: Moving Beyond ""Themes Emerged""",Áine Humble and Elise Radina,35.09, 33.86 - 35.09 ,238,4.4,5,71,29,0,0,0,539.8,0.385553472,English,"Routledge; 1st edition (December 17, 2018)"
"Clinical Genomics, Second Edition: A Guide to Clinical Next Generation Sequencing",Shashikant Kulkarni and Somak Roy,200.0,200,562,0,0,0,0,0,0,0,,0.5034875307000001,English,"Academic Press; 2nd edition (June 15, 2023)"
Python NumPy for Beginners: NumPy Specialization for Data Science (Python for Beginners in Data Science and Data Analysis Book 1),Not Provided,9.99,9.99,220,3.7,6,43,19,19,19,0,,,English,"AI Publishing LLC (January 17, 2022)"
Python Programming for Beginners: 2 Books in 1 - The Ultimate Step-by-Step Guide To Learn Python Programming Quickly with Practical Exercises (Computer Programming),Not Provided,19.99,19.99,201,4.7,196,85,9,3,2,1,527.7,0.391223376,English,"Independently published (July 21, 2022)"
Python Programming: 3 Books in 1: The Complete Beginner’s Guide to Learning the Most Popular Programming Language,Dylan Penny,25.1, 23.99 - 25.10 ,330,4.6,105,79,12,2,1,6,983.2,0.6622448602000001,English,"Independently published (January 22, 2021)"
Categorical Data Analysis,Alan Agresti,113.19, 41.41 - 113.19 ,752,4.7,61,85,6,6,3,0,1737.8,1.4288159655000001,English,"Wiley; 3rd edition (December 3, 2012)"
Data-Driven HR: How to Use Analytics and Metrics to Drive Performance,Bernard Marr,6.99, 7.59 - 36.99 ,264,4.3,62,63,20,4,8,5,534.3,0.41106803999999997,English,"Kogan Page; 1st edition (April 24, 2018)"
The Pandas Workshop: A comprehensive guide to using Python for data analysis with real-world case studies,"Blaine Bateman, Saikat Basak, et al.",49.99,49.99,744,4.6,13,71,19,10,0,0,1909.9,1.2564508649000001,English,"Packt Publishing (June 17, 2022)"
"Statistical Methods for Categorical Data Analysis, 2nd Edition",Yu Xie and Daniel Powers,92.85, 88.41 - 92.85 ,200,4.8,10,84,16,0,0,0,901.1,0.6803885550000001,English,"Emerald Publishing; 2nd edition (October 1, 2008)"
"Python Data Analysis: Perform data collection, data processing, wrangling, visualization, and model building using Python, 3rd Edition","Avinash Navlani, Armando Fandango, et al.",34.99,34.99,478,4.7,50,83,8,6,3,0,1227.8,0.8119303423,English,"Packt Publishing; 3rd ed. edition (February 5, 2021)"
R for Data Analysis in easy steps - R Programming essentials,Not Provided,12.99, 10.99 - 12.99 ,192,4.3,136,59,20,14,3,4,519.1,0.430912704,English,"In Easy Steps Limited (March 13, 2018)"
"Learning Tableau 2022: Create effective data visualizations, build interactive visual analytics, and improve your data storytelling capabilities, 5th Edition","Joshua N. Milligan, Blair Hutchinson, et al.",43.09, 30.48 - 43.09 ,566,4.8,29,94,6,0,0,0,1455.2,0.9616158244,English,"Packt Publishing; 5th ed. edition (August 26, 2022)"
"Data Science in Context: Foundations, Challenges, Opportunities","Alfred Z. Spector, Peter Norvig, et al.",39.99,39.99,335,5.0,3,100,0,0,0,0,998.6,0.7212118683000001,English,"Cambridge University Press; New edition (October 20, 2022)"
"Data Structures and Algorithm Analysis in Java, Third Edition (Dover Books on Computer Science)",Not Provided,10.64,10.64,608,3.7,22,47,20,8,6,19,1348.1,1.043262451,English,"Dover Publications; Third edition (September 14, 2011)"
The Statistical Sleuth: A Course in Methods of Data Analysis,Fred Ramsey and Daniel Schafer,127.98, 48.57 - 127.98 ,784,4.0,73,58,16,7,8,10,1648.4,1.3380974915000001,English,"Cengage Learning; 3rd edition (May 2, 2012)"
Deep Learning: A Comprehensive Guide to Python Coding and Programming Machine Learning and Neural Networks for Data Analysis (Python Programming Deep Learning),Not Provided,4.97,4.97,287,4.7,22,74,19,7,0,0,,,English,Not Provided
"Bayesian Data Analysis in Ecology Using Linear Models with R, BUGS, and Stan","Franzi Korner-Nievergelt, Tobias Roth, et al.",59.96,59.96,328,4.7,5,70,30,0,0,0,602.3,0.6803885550000001,English,"Academic Press; 1st edition (April 23, 2015)"
"Numerical Methods Using Kotlin: For Data Science, Analysis, and Engineering",Haksun Li  PhD,54.68,54.68,921,0,0,0,0,0,0,0,,0.5034875307000001,English,"Apress; 1st ed. edition (January 4, 2023)"
"Data Analyses: Detailed, Scientific, and Business-Oriented Data Reading Skills",Benjamin Farrar and Ryan Simpson,0,0,0,0,0,0,0,0,0,0,,,Not_Stated,Not Provided
Pandas for Everyone: Python Data Analysis (Addison-Wesley Data & Analytics Series),Not Provided,17.27,17.27,406,4.5,274,71,15,9,2,3,,,English,"Addison-Wesley Professional; 1st edition (December 15, 2017)"
"Introduction to Algorithms, 3rd Edition (The MIT Press)","Thomas H. Cormen, Charles E. Leiserson, et al.",78.49, 36.42 - 78.49 ,1292,4.6,"2,240",78,10,6,2,4,2507.3,2.2452822315,English,"The MIT Press; 3rd edition (July 31, 2009)"
Data Analysis with Microsoft Power BI,Brian Larson,42.7,42.7,544,3.8,12,47,18,11,14,10,1395.8,0.771107029,English,"McGraw Hill; 1st edition (December 27, 2019)"
Escape from Model Land: How Mathematical Models Can Lead Us Astray and What We Can Do About It,Erica Thompson,30.0,30,256,5.0,1,100,0,0,0,0,1035.2,0.43941756,English,"Basic Books (December 6, 2022)"
"Mastering pandas: A complete guide to pandas, from installation to advanced data analysis techniques, 2nd Edition",Ashish Kumar,21.09,21.09,1004,4.4,11,51,37,13,0,0,,,English,"Packt Publishing; 2nd edition (October 25, 2019)"
Excel Tips & Tricks (Quick Study Computer),Inc. BarCharts,5.95,5.95,6,4.5,"1,984",72,16,8,2,3,91.9,0.068038848,English,"QuickStudy; Lam Crds edition (November 18, 2008)"
Data Engineering with Alteryx: Helping data engineers apply DataOps practices with Alteryx,Paul Houghton,44.99,44.99,366,4.3,10,73,13,14,0,0,943.6,0.6259574706,English,"Packt Publishing (June 30, 2022)"
Big and Complex Data Analysis: Methodologies and Applications (Contributions to Statistics),Not Provided,77.0, 38.59 - 77.00 ,400,0,0,0,0,0,0,0,,,English,"Springer; 1st ed. 2017 edition (March 21, 2017)"
Expert Data Modeling with Power BI: Get the best out of Power BI by building optimized data models for reporting and business needs,Soheil Bakhshi and Christian Wade,46.53,46.53,612,4.8,50,80,20,0,0,0,1568.9,1.0341906036,English,"Packt Publishing (June 11, 2021)"
"The Esri Guide to GIS Analysis, Volume 1: Geographic Patterns and Relationships (The Esri Guide to GIS Analysis, 1)",Not Provided,31.99,31.99,312,4.6,26,80,9,6,5,0,852.6,0.7257477920000001,English,"Esri Press; Second edition (May 26, 2020)"
Data Visualization: A Practical Introduction,Kieran Healy,42.0, 16.07 - 42.00 ,296,4.6,206,78,12,8,1,1,983.2,0.7257477920000001,English,"Princeton University Press; 1st edition (December 18, 2018)"
"Applied Spatial Data Analysis with R (Use R!, 10)",Not Provided,74.04, 41.74 - 74.04 ,423,4.5,29,64,22,14,0,0,887.7,0.6441011654,English,"Springer; 2nd ed. 2013 edition (June 21, 2013)"
"PYTHON ALGORITHMS: A Complete Guide to Learn Python for Data Analysis, Machine Learning, and Coding from Scratch (Python programming language)",Not Provided,0,0,126,3.6,78,47,13,15,5,20,,,English,Not Provided
Geographic Data Science with Python (Chapman & Hall/CRC Texts in Statistical Science),"Sergio Rey, Dani Arribas-Bel, et al.",170.0,170,393,0,0,0,0,0,0,0,,0.45359232,English,"Chapman and Hall/CRC; 1st edition (May 10, 2023)"
Bayesian Data Analysis for the Behavioral and Neural Sciences,Todd E. Hudson,48.16,48.16,612,4.0,3,34,33,33,0,0,1822.2,1.4378878129000001,English,"Cambridge University Press (August 26, 2021)"
Root Cause Analysis,Matthew A. Barsalou,34.95,34.95,154,3.9,26,56,15,6,12,10,325.2,0.272155392,English,"Routledge; 1st edition (January 19, 2015)"
"The Analysis of Biological Data, Second Edition",Michael C. Whitlock and Dolph Schluter,87.0, 14.22 - 87.00 ,768,4.5,183,74,14,8,1,4,1693.0,1.5195344395000001,English,"Roberts and Company Publishers; 2nd edition (June 2, 2014)"
Multiple Imputation of Missing Data in Practice: Basic Theory and Analysis Strategies (Chapman & Hall/CRC Interdisciplinary Statistics),"Yulei He, Guangyu Zhang, et al.",99.42,99.42,476,0,0,0,0,0,0,0,982.3,1.0704779932,English,"Chapman and Hall/CRC; 1st edition (November 26, 2021)"
"Learning Geospatial Analysis with Python: Understand GIS fundamentals and perform remote sensing data analysis using Python 3.7, 3rd Edition",Joel Lawhead,51.99,51.99,456,4.2,29,61,18,11,5,5,1171.0,0.7756429527,English,"Packt Publishing (September 27, 2019)"
The Ultimate Guide To Understanding NFTs,Steve Nico Williams,19.99,19.99,141,0,0,0,0,0,0,0,209.8,0.2126214,English,"Independently published (October 1, 2022)"
Python Programming for Beginners: The #1 Python Programming Crash Course to Learn Python Coding Well and Fast (with Hands-On Exercises),Codeone Publishing,19.16,19.16,126,4.7,386,87,7,1,2,3,380.2,0.249475776,English,"Independently published (October 31, 2022)"
Qualitative Data Analysis: An Introduction,Carol Grbich,43.15, 22.15 - 43.15 ,344,4.5,23,72,15,7,7,0,814.9,0.5805982336000001,English,"SAGE Publications Ltd; Second edition (December 6, 2012)"
Microsoft Excel Data Analysis and Business Modeling (Business Skills),Wayne Winston,30.51, 10.64 - 30.51 ,864,4.5,423,75,12,9,2,2,1909.9,1.4378878129000001,English,"Microsoft Press; 5th edition (December 9, 2016)"
Applied Categorical and Count Data Analysis (Chapman & Hall/CRC Texts in Statistical Science),"Wan Tang, Hua He, et al.",99.95,99.95,381,0,0,0,0,0,0,0,,0.7892507238,English,"Chapman and Hall/CRC; 2nd edition (April 18, 2023)"
"The Data Revolution: A Critical Analysis of Big Data, Open Data and Data Infrastructures",Rob Kitchin,42.0,42,376,5.0,3,100,0,0,0,0,888.1,0.6622448602000001,English,"SAGE Publications Ltd; Second edition (May 31, 2022)"
Bioinformatics Data Skills: Reproducible and Robust Research with Open Source Tools,Vince Buffalo,45.99, 41.14 - 45.99 ,536,4.6,116,74,17,5,3,1,1149.1,0.861825503,English,"O'Reilly Media; 1st edition (August 18, 2015)"
Big Data Analysis with Python: Combine Spark and Python to unlock the powers of parallel computing and machine learning,"Ivan Marin, Ankit Shukla, et al.",13.29,13.29,278,3.7,5,68,32,0,0,0,,,English,"Packt Publishing; 1st edition (April 10, 2019)"
Be Data Literate: The Data Literacy Skills Everyone Needs To Succeed,Jordan Morrow,15.99,15.99,240,4.3,107,63,19,4,10,4,906.1,0.371378712,English,"Kogan Page; 1st edition (March 30, 2021)"
Microsoft Office 365 for Beginners 2023: [10 in 1] The All-in-One Guide to Mastering the Whole Suite from Excel to Access | Take Full Advantage of Their Potential Even as a Non-Tech-Savvy,Jeff Owen,20.97,20.97, for creating superior text  in just a few minutes,4.9,268,90,9,1,1,0,616.2,0.4581282937,English,"Independently published (October 23, 2022)"
Bayesian Artificial Intelligence (Chapman & Hall/CRC Computer Science & Data Analysis Book 2),Not Provided,52.17, 16.26 - 52.17 ,491,4.1,6,38,34,29,0,0,,,English,"CRC Press; 2nd edition (December 16, 2010)"
Cloud Scale Analytics with Azure Data Services: Build modern data warehouses on Microsoft Azure,Patrik Borosch,57.99,57.99,520,4.8,7,78,22,0,0,0,1341.5,0.8845051215,English,"Packt Publishing (July 23, 2021)"
"Excel 2023: The Most Updated Bible to Master Microsoft Excel from Zero To Pro in Less than 5 Minutes A Day. Discover All the Formulas, Functions & Charts with Step-by-Step Tutorials, Tips & Tricks",Andrew J. Nash,16.99,16.99,201,4.9,418,94,4,1,1,0,704.8,0.5805982336000001,English,"Independently published (October 18, 2022)"
"PYTHON: Learn Coding Programs with Python Programming and Master Data Analysis & Analytics, Data Science and Machine Learning with the Complete Crash Course for Beginners - 5 Manuscripts in 1 Book",TechExp Academy,24.9, 19.66 - 24.90 ,400,4.1,273,60,15,12,5,8,1193.0,0.861825503,English,"Independently published (December 24, 2021)"
Data Structures & Algorithm Analysis in C++,Mark Weiss,193.32, 71.18 - 193.32 ,664,4.2,93,63,15,11,3,8,1243.8,1.1521246198000001,English,"Pearson; 4th edition (June 13, 2013)"
"Introduction to Python in Earth Science Data Analysis: From Descriptive Statistics to Machine Learning (Springer Textbooks in Earth Sciences, Geography and Environment)",Not Provided,48.15,48.15,244,4.6,3,62,38,0,0,0,778.9,0.5397749203,English,"Springer; 1st ed. 2021 edition (September 17, 2021)"
"A Common-Sense Guide to Data Structures and Algorithms, Second Edition: Level Up Your Core Programming Skills",Jay Wengrow,39.99, 19.99 - 39.99 ,508,4.7,570,81,14,3,1,1,1421.1,0.9434721296,English,"Pragmatic Bookshelf; 2nd edition (September 15, 2020)"
